Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error,rmse,r2,cost
Oyster Bay,2007,154,351.57003908826107,290,333.67674396233986,280,10,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2008,143,351.00643139931475,282,333.52982564290363,277,5,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2009,129,350.8932020178562,281,333.72324836730957,281,0,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2010,149,351.4949839154161,288,333.51101028442383,287,1,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2011,149,351.2920854810312,291,333.587442855835,289,2,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2012,131,350.86230955508864,277,334.0590629323324,284,-7,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2013,151,351.31342561524093,276,333.8987638092041,276,0,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2014,145,351.29393703575096,280,333.74772666931153,276,4,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2015,148,351.1973829965038,285,333.77605830921846,284,1,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2016,146,350.89583541207315,280,333.55226687113446,281,-1,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2017,144,350.9720409675152,282,333.5670630645752,282,0,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2018,146,350.90313393816916,283,333.68340591430666,279,4,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2019,143,351.7764775393086,279,333.5872915649414,283,-4,4.415880433163924,0.4485293609846776,1209
Seaview,2006,161,351.2713425674173,277,333.50131945292156,274,3,4.415880433163924,0.4485293609846776,1209
Seaview,2007,167,350.81905264700714,285,333.5335784403483,276,9,4.415880433163924,0.4485293609846776,1209
Seaview,2008,150,351.23084649553437,277,334.01833429972334,276,1,4.415880433163924,0.4485293609846776,1209
Seaview,2009,133,350.8962521314769,266,333.8824703470866,274,-8,4.415880433163924,0.4485293609846776,1209
Seaview,2010,164,351.13099891305575,286,333.5726397450765,279,7,4.415880433163924,0.4485293609846776,1209
Seaview,2011,165,350.93135322003803,297,333.9932386525472,291,6,4.415880433163924,0.4485293609846776,1209
Seaview,2012,150,351.01325728491486,279,333.71408729553224,278,1,4.415880433163924,0.4485293609846776,1209
Seaview,2013,170,350.96590151471685,276,333.5747115580241,277,-1,4.415880433163924,0.4485293609846776,1209
Seaview,2014,171,351.60655488648644,286,333.595257619222,274,12,4.415880433163924,0.4485293609846776,1209
Seaview,2015,159,350.98461777469703,280,333.85020510355633,278,2,4.415880433163924,0.4485293609846776,1209
Seaview,2016,164,351.00809262945177,279,333.7441425592448,277,2,4.415880433163924,0.4485293609846776,1209
Seaview,2017,155,351.0524230666297,274,333.75509501375325,275,-1,4.415880433163924,0.4485293609846776,1209
Seaview,2018,157,351.10785022203146,278,333.6996745933024,274,4,4.415880433163924,0.4485293609846776,1209
Seaview,2019,157,350.99479099801266,275,333.544961473999,273,2,4.415880433163924,0.4485293609846776,1209
Squire,2004,139,351.11122111384424,279,333.53962776184085,280,-1,4.415880433163924,0.4485293609846776,1209
Squire,2005,150,351.483353537987,269,333.55778459400966,273,-4,4.415880433163924,0.4485293609846776,1209
Squire,2006,151,351.13166026019724,275,333.5133721669515,273,2,4.415880433163924,0.4485293609846776,1209
Squire,2007,150,351.6827207787639,278,333.57003257751467,281,-3,4.415880433163924,0.4485293609846776,1209
Squire,2008,146,351.1995039340808,275,333.58504163106284,276,-1,4.415880433163924,0.4485293609846776,1209
Squire,2009,130,351.37136146752744,268,333.52759727478025,276,-8,4.415880433163924,0.4485293609846776,1209
Squire,2010,150,350.960856472833,279,333.71204116821286,280,-1,4.415880433163924,0.4485293609846776,1209
Squire,2011,152,351.52847009156176,290,333.84797047932943,290,0,4.415880433163924,0.4485293609846776,1209
Squire,2012,137,351.09549321707084,275,333.5511246999105,280,-5,4.415880433163924,0.4485293609846776,1209
Squire,2013,159,351.7803102087604,273,333.5438194529215,276,-3,4.415880433163924,0.4485293609846776,1209
Squire,2014,151,351.3804662029501,273,333.62873598734535,274,-1,4.415880433163924,0.4485293609846776,1209
Squire,2015,150,351.1232801266093,279,333.7430817667643,278,1,4.415880433163924,0.4485293609846776,1209
Squire,2016,152,351.34147038194715,276,333.7969159276937,281,-5,4.415880433163924,0.4485293609846776,1209
Squire,2017,148,351.4762406981469,275,333.66043527482094,277,-2,4.415880433163924,0.4485293609846776,1209
Squire,2018,152,351.54301231830226,277,333.73831261425784,272,5,4.415880433163924,0.4485293609846776,1209
Squire,2019,145,351.4225070154931,270,333.5841629731697,273,-3,4.415880433163924,0.4485293609846776,1209
