day,hour,mean.ta,mean.rh,total.radiation.umol.m2.s,CO2.ppm,mean.wind.speed.m.s,swp.MPa,year,stn.no.
273,15,13.542857142857143,0.6542857142857144,659.0277777915,400,6.042857142857143,-0.2,2022,121
273,16,13.228571428571428,0.6642857142857143,409.86111111659994,400,5.457142857142857,-0.2,2022,121
273,17,12.757142857142856,0.6814285714285714,178.7499999714,400,5.171428571428572,-0.2,2022,121
273,18,11.9,0.6985714285714286,43.333333335499994,400,5.357142857142857,-0.2,2022,121
273,19,10.757142857142856,0.7357142857142857,1.8055555556999998,400,3.7857142857142856,-0.2,2022,121
273,20,10.028571428571428,0.7714285714285714,0,400,3.7714285714285714,-0.2,2022,121
273,21,9.457142857142857,0.8014285714285714,0,400,3.5571428571428574,-0.2,2022,121
273,22,9.128571428571428,0.8085714285714286,0,400,3.1142857142857143,-0.2,2022,121
273,23,8.871428571428572,0.8171428571428571,0,400,2.685714285714286,-0.2,2022,121
274,0,8.742857142857144,0.822857142857143,0,400,2.5285714285714285,-0.2,2022,121
274,1,8.642857142857142,0.8214285714285714,0,400,3.0857142857142854,-0.2,2022,121
274,2,8.785714285714286,0.8271428571428571,0,400,2.942857142857143,-0.2,2022,121
274,3,8.214285714285714,0.8528571428571429,5.4166666670999994,400,2.557142857142857,-0.2,2022,121
274,4,7.557142857142857,0.8571428571428571,142.6388888899,400,2.242857142857143,-0.2,2022,121
274,5,7.257142857142857,0.8357142857142857,642.7777777629,400,3.2,-0.2,2022,121
274,6,6.957142857142857,0.8442857142857143,1135.6944444222,400,2.9285714285714284,-0.2,2022,121
274,7,7.228571428571429,0.86,1599.7222221695,400,4.114285714285714,-0.2,2022,121
274,8,9.128571428571428,0.8342857142857143,2005.9722222604998,400,4.2,-0.2,2022,121
274,9,11.314285714285715,0.75,2033.055555622,400,4.157142857142857,-0.2,2022,121
274,10,12.857142857142858,0.68714285714285706,2464.5833332899997,400,3.9,-0.2,2022,121
274,11,13.628571428571428,0.6557142857142857,2213.6111111399996,400,4.385714285714286,-0.2,2022,121
274,12,13.657142857142857,0.667142857142857,2085.41666658,400,4.728571428571429,-0.2,2022,121
274,13,14.528571428571428,0.65,1520.2777777200001,400,4.871428571428571,-0.2,2022,121
274,14,14.542857142857143,0.63,1023.7500000325,400,4.257142857142857,-0.2,2022,121
274,15,14.428571428571429,0.6328571428571429,538.0555555049999,400,3.814285714285714,-0.2,2022,121
274,16,14.042857142857143,0.6557142857142857,310.5555555414,400,4.457142857142857,-0.2,2022,121
274,17,13.67142857142857,0.6557142857142857,205.83333331145,400,3.842857142857143,-0.2,2022,121
274,18,12.8,0.6885714285714286,48.74999999999999,400,3.3714285714285714,-0.2,2022,121
274,19,11.442857142857143,0.7485714285714287,3.6111111113999996,400,3.2285714285714286,-0.2,2022,121
274,20,10.357142857142858,0.7842857142857143,0,400,2.9000000000000004,-0.2,2022,121
274,21,9.585714285714285,0.8257142857142857,0,400,3.5142857142857142,-0.2,2022,121
274,22,9.142857142857142,0.8371428571428571,0,400,3.428571428571429,-0.2,2022,121
274,23,8.17142857142857,0.8514285714285714,0,400,3.4,-0.2,2022,121
275,0,7.442857142857143,0.8585714285714287,0,400,2.8714285714285714,-0.2,2022,121
275,1,7.042857142857143,0.87,0,400,2.085714285714286,-0.2,2022,121
275,2,6.714285714285714,0.8785714285714286,0,400,2.3714285714285714,-0.2,2022,121
275,3,6.442857142857143,0.89,7.222222222799999,400,2.457142857142857,-0.2,2022,121
275,4,6.142857142857143,0.8971428571428571,160.6944444417,400,2.085714285714286,-0.2,2022,121
275,5,6.2,0.9057142857142857,669.8611112049999,400,2.1714285714285713,-0.2,2022,121
275,6,6.728571428571429,0.8928571428571429,1318.0555554906998,400,2.442857142857143,-0.2,2022,121
275,7,7.642857142857143,0.8714285714285714,1964.4444444819999,400,2.6714285714285713,-0.2,2022,121
275,8,9.914285714285715,0.8114285714285714,2520.555555505,400,2.685714285714286,-0.2,2022,121
275,9,12.457142857142857,0.73,2928.6111111399996,400,2.914285714285714,-0.2,2022,121
275,10,14.17142857142857,0.6728571428571429,2637.9166667749996,400,3.2285714285714286,-0.2,2022,121
275,11,15.185714285714287,0.6285714285714286,2347.222222215,400,3.9142857142857146,-0.2,2022,121
275,12,15.928571428571429,0.5914285714285714,2117.916666645,400,4.585714285714285,-0.2,2022,121
275,13,16.214285714285715,0.5871428571428572,1715.2777778304999,400,5.485714285714286,-0.2,2022,121
275,14,16.057142857142857,0.5985714285714285,1063.4722222799999,400,5.628571428571428,-0.2,2022,121
275,15,15.67142857142857,0.62,787.2222222084999,400,6.171428571428572,-0.2,2022,121
275,16,15.071428571428571,0.6357142857142857,561.5277777707,400,5.314285714285714,-0.2,2022,121
275,17,13.642857142857142,0.692857142857143,341.2499999714,400,4.3,-0.2,2022,121
275,18,12.785714285714286,0.7071428571428571,88.47222221499999,400,3.4857142857142858,-0.2,2022,121
275,19,11.771428571428572,0.7228571428571429,7.222222221499999,400,3.3,-0.2,2022,121
275,20,11.2,0.7485714285714287,0,400,2.3857142857142857,-0.2,2022,121
275,21,10.871428571428572,0.7542857142857143,0,400,2.5714285714285716,-0.2,2022,121
275,22,9.871428571428572,0.787142857142857,0,400,2.1,-0.2,2022,121
275,23,9.2,0.8157142857142857,0,400,1.8714285714285714,-0.2,2022,121
276,0,8.742857142857142,0.84,0,400,2.2,-0.2,2022,121
276,1,8.242857142857144,0.8514285714285714,0,400,2,-0.2,2022,121
276,2,7.585714285714285,0.8657142857142857,0,400,2.6,-0.2,2022,121
276,3,7.1571428571428575,0.8871428571428571,3.6111111113999996,400,2.057142857142857,-0.2,2022,121
276,4,7.514285714285714,0.89,173.3333333355,400,2.5285714285714285,-0.2,2022,121
276,5,7.642857142857142,0.8942857142857144,570.5555556025,400,2.357142857142857,-0.2,2022,121
276,6,7.714285714285714,0.8828571428571429,1151.9444445457,400,2.5142857142857142,-0.2,2022,121
276,7,8.414285714285715,0.8757142857142857,2004.1666666905,400,2.571428571428571,-0.2,2022,121
276,8,10.32857142857143,0.8371428571428571,2578.3333332899997,400,2.757142857142857,-0.2,2022,121
