"","formul","R2","logLik","aic","df"
"39","tmean_sev23 + rh_sev23",0.14527383015462,73.2162274898431,-138.432454979686,116
"40","tmean_sev23 + wetness_sev23",0.0197646948904879,65.0640431419569,-122.128086283914,116
"41","tmean_sev23 + WD_sev23",0.0221753866264812,65.2105516623647,-122.421103324729,116
"42","tmean_sev23 * rain_sev23",0.284717696559487,84.328561518033,-158.657123036066,115
"43","tmean_sev23 * rh_sev23",0.154429042909898,74.3721413172562,-138.744282634512,115
"44","tmean_sev23 * wetness_sev23",0.0175396181730111,65.4442894201431,-120.888578840286,115
"45","tmean_sev23 * WD_sev23",0.0182290935043344,65.486060248398,-120.972120496796,115
"46","tmean_sev23 * rh_sev23 + rain_sev23",0.340454057587575,89.6751923969725,-167.350384793945,114
"47","tmean_sev23 * rh_sev23 + wetness_sev23",0.159588750448512,75.2559789017529,-138.511957803506,114
"48","tmean_sev23 * rh_sev23 + WD_sev23",0.162198012382341,75.4409985485102,-138.88199709702,114
"49","tmean_sev23 * rain_sev23 + rh_sev23",0.337041459525871,89.3681234411106,-166.736246882221,114
"50","tmean_sev23 * rain_sev23 + wetness_sev23",0.278443441320773,84.3285739639626,-156.657147927925,114
"51","tmean_sev23 * rain_sev23 + WD_sev23",0.278496834787404,84.3329769851452,-156.66595397029,114
"52","tmax_sev23 + tmin_sev23 + rain_sev23",0.291719845805082,84.9138976062495,-159.827795212499,115
"53","tmax_sev23 + tmin_sev23 + rh_sev23",0.123428975247968,72.2298054239959,-134.459610847992,115
"54","tmax_sev23 + tmin_sev23 + wetness_sev23",0.0115023995124215,65.0797807528054,-120.159561505611,115
"55","tmax_sev23 + tmin_sev23 + WD_sev23",0.0116042936140366,65.0859143150269,-120.171828630054,115
"56","tmax_sev23 * tmin_sev23 + rain_sev23",0.309289157376343,86.9280987115352,-161.85619742307,114
"57","tmax_sev23 * tmin_sev23 + rh_sev23",0.124486165808357,72.8212628061044,-133.642525612209,114
"58","tmax_sev23 * tmin_sev23 + wetness_sev23",0.00335903280044758,65.1112742921924,-118.222548584385,114
"59","tmax_sev23 * tmin_sev23 + WD_sev23",0.00387560954393384,65.1421221958935,-118.284244391787,114
"60","tmax_sev23 + tmin_sev23 + wetness_sev23 + rain_sev23",0.285554083730913,84.9178301647429,-157.835660329486,114
"61","sev1",0.0380292040886805,65.6724195679558,-125.344839135912,117
"62","sev2",0.115358329080824,70.6586041248294,-135.317208249659,117
"63","sev3",0.3621218838847,90.1172132140615,-174.234426428123,117
"64","sev1+sev2",0.15185028731995,73.6758043160295,-139.351608632059,116
"65","sev1+sev3",0.363882410413309,90.7923914083146,-173.584782816629,116
"66","sev2+sev3",0.367690423528148,91.1496487536414,-174.299297507283,116
"67","sev1+sev2+sev3",0.366609464696643,91.5631726731853,-173.126345346371,115
"68","sev2+sev3+sev23",0.367690423528148,91.1496487536414,-174.299297507283,116
"69","sev3+sev23+rh_sev1+rain_sev23",0.447514068413041,100.214050306486,-188.428100612973,114
"70","sev2+sev3+rh_sev1+rain_sev23",0.447514068413041,100.214050306486,-188.428100612973,114
"71","sev2+sev3+sev23+rh_sev1+rain_sev23",0.447514068413041,100.214050306486,-188.428100612973,114
"72","sev2+sev3+sev23+rh_sev1+rh_sev23+rain_sev23",0.468562967180908,103.049456136874,-192.098912273748,113
