year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,ET0,ET_Rain,station,vineyard,region
2022,22,0,28.7,11.8,19.829166666666666,31.7736,2.5416666666666665,58.93333333333334,1.188859020328552,10.461780689713157,10.461780689713157,Blenheim,"NA",Marlborough
2022,23,0,22.2,12.6,17.995833333333334,27.59724,2.4333333333333336,73.55416666666666,0.5910322754307501,8.383012793702365,8.383012793702365,Blenheim,"NA",Marlborough
2022,24,0,22.6,16.2,18.8375,25.74864,1.8083333333333333,73.09166666666667,0.6127223752770309,7.654805644061605,7.654805644061605,Blenheim,"NA",Marlborough
2022,25,0,24.3,14.9,19.9375,16.05636,2.129166666666667,71.09583333333333,0.7261182240749723,5.551297799653734,5.551297799653734,Blenheim,"NA",Marlborough
2022,26,7,27.4,17.5,22.079166666666666,26.51868,2.7333333333333334,71.95416666666667,0.8426102855853213,8.96844456405002,1.9684445640500208,Blenheim,"NA",Marlborough
2022,27,0.2,21.8,12.9,17.3375,31.86,2.15,59.4375,0.865531990227139,9.519934503877083,9.319934503877084,Blenheim,"NA",Marlborough
2022,28,0,18.8,11.9,15.270833333333334,26.937,2.0125,67.49583333333334,0.593844857171619,7.699033357979639,7.699033357979639,Blenheim,"NA",Marlborough
2022,29,0,27.9,10.6,18.958333333333332,30.9636,2.3583333333333334,64.65416666666667,1.00617033279153,9.799230560724897,9.799230560724897,Blenheim,"NA",Marlborough
2022,30,0,23.4,14.5,18.745833333333334,30.59928,2.7666666666666666,64.85416666666667,0.8214771366564195,9.781619044141308,9.781619044141308,Blenheim,"NA",Marlborough
2022,31,0,21.6,12.6,17.054166666666667,24.917759999999998,2.2875,79.32083333333334,0.45419683043629705,7.337043937684118,7.337043937684118,Blenheim,"NA",Marlborough
2022,32,0,28.6,13.2,20.6875,22.24944,2.35,68.32083333333334,0.9737943022638418,7.666812363727937,7.666812363727937,Blenheim,"NA",Marlborough
2022,33,0,23.5,20.7,22.241666666666667,6.93432,3.345833333333333,64.425,0.9590341160868104,4.422141737157881,4.422141737157881,Blenheim,"NA",Marlborough
2022,34,0,25.2,20.5,22.791666666666668,10.18728,2.6,70.01666666666667,0.8464585010053252,4.508167754591267,4.508167754591267,Blenheim,"NA",Marlborough
2022,35,5.4,25.5,19.4,22.1375,13.79916,2.0458333333333334,74.57083333333334,0.7189571629383295,4.946866750604277,-0.45313324939572297,Blenheim,"NA",Marlborough
2022,36,23.4,19.3,13.1,14.7375,5.17176,2.2666666666666666,91.9625,0.1339361249481332,1.6400672818825806,-21.75993271811742,Blenheim,"NA",Marlborough
2022,37,30,13.4,12,12.9,3.49596,1.8,90.3375,0.14493507012232693,1.157803562560268,-28.842196437439732,Blenheim,"NA",Marlborough
2022,38,0,16.5,13.4,14.6375,7.01604,2.0708333333333333,72.66666666666667,0.461728944786047,2.7472062791947627,2.7472062791947627,Blenheim,"NA",Marlborough
2022,39,0,20.1,13.4,16.454166666666666,10.45764,1.7,86.1125,0.28567405329907214,3.1695665258976917,3.1695665258976917,Blenheim,"NA",Marlborough
2022,40,4,20.2,14.2,17.279166666666665,10.78992,1.6208333333333333,89.91666666666667,0.21238174859761913,3.1639103454224204,-0.8360896545775796,Blenheim,"NA",Marlborough
2022,41,0.8,25.7,17.6,21.3375,8.59608,1.2708333333333333,86.95416666666667,0.3764672920569277,2.7889260896275756,1.9889260896275756,Blenheim,"NA",Marlborough
2022,42,0.2,23,16.7,19.708333333333332,10.9044,2.5125,85.9375,0.34412130765460497,3.7406475423398935,3.5406475423398933,Blenheim,"NA",Marlborough
2022,43,55.6,18.4,15.6,16.8875,3.69396,1.1833333333333333,96.00416666666666,0.07745800106241806,1.066312842510902,-54.5336871574891,Blenheim,"NA",Marlborough
2022,44,12.4,15.5,11.3,13.454166666666666,6.65676,2.2,78.125,0.33888972213475427,2.4547829173105917,-9.945217082689409,Blenheim,"NA",Marlborough
2022,45,0.6000000000000001,19.6,10.7,14.583333333333334,23.23692,1.6166666666666667,79.3,0.404025540497253,6.304250713345447,5.704250713345447,Blenheim,"NA",Marlborough
2022,46,0,20.6,13,16.379166666666666,24.40224,1.3916666666666666,80.12083333333334,0.4057121262750744,6.6816037222350575,6.6816037222350575,Blenheim,"NA",Marlborough
2022,47,0,21.4,10.9,16.666666666666668,24.51132,2.4791666666666665,79.125,0.4621111130619613,7.304424508660852,7.304424508660852,Blenheim,"NA",Marlborough
2022,48,0,21.2,13,16.9875,25.4466,1.6208333333333333,79.8,0.4416747533504243,7.13968030061055,7.13968030061055,Blenheim,"NA",Marlborough
2022,49,0,26.2,12.9,19.3875,27.72504,2.7583333333333333,65.35833333333333,0.9727690864916865,9.336417260122571,9.336417260122571,Blenheim,"NA",Marlborough
2022,50,0.2,24,16.5,20.420833333333334,15.49548,3.6708333333333334,63.891666666666666,0.8974221452538077,6.846366517915239,6.646366517915239,Blenheim,"NA",Marlborough
2022,51,20.8,18.9,13.3,15.429166666666667,21.32928,2.2625,82.6625,0.33201499875172713,6.086075765933387,-14.713924234066614,Blenheim,"NA",Marlborough
2022,52,0,20.2,9.9,15.1875,22.97304,1.5416666666666667,81.40416666666667,0.3803170395141961,6.245810115317741,6.245810115317741,Blenheim,"NA",Marlborough
2022,53,0,25.7,12.5,19.095833333333335,27.19584,2.595833333333333,70,0.8262244444389242,8.829995035176042,8.829995035176042,Blenheim,"NA",Marlborough
2022,54,0,20.2,14.2,16.816666666666666,23.16204,1.9166666666666667,70.2875,0.5995932653175738,6.876420130784154,6.876420130784154,Blenheim,"NA",Marlborough
2022,55,0,18.6,10.9,14.641666666666667,22.433759999999996,1.8541666666666667,71.16666666666667,0.5139435635444783,6.37165730332949,6.37165730332949,Blenheim,"NA",Marlborough
2022,56,0,19.4,9,14.25,26.98416,2.1875,72.39166666666667,0.5226061104517855,7.611028792603819,7.611028792603819,Blenheim,"NA",Marlborough
2022,57,0,21.5,9.4,15.366666666666667,24.600600000000004,2.35,75.20833333333333,0.5181767601776786,7.241222623709416,7.241222623709416,Blenheim,"NA",Marlborough
2022,58,0,17.8,8.6,13.4625,16.89696,1.6875,71.225,0.4726350286448405,4.83902508582945,4.83902508582945,Blenheim,"NA",Marlborough
