year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,station,vineyard,region
2021,16,0,27.8,12.3,20.191666666666666,32.66028,2.2333333333333334,70.9625,0.8661020450850656,Blenheim,NA,Marlborough
2021,17,2.8,24.8,16.8,19.945833333333333,17.72604,3.225,64.16666666666667,0.8620913621616758,Blenheim,NA,Marlborough
2021,18,0,22.9,14.8,18.845833333333335,28.27728,5.025,44.541666666666664,1.2520031645848106,Blenheim,NA,Marlborough
2021,19,3.1999999999999997,23.5,13.5,18.375,23.06952,4.9375,59.82083333333333,0.9032902913260545,Blenheim,NA,Marlborough
2021,20,0,18.4,10.6,14.529166666666667,32.50008,5.395833333333333,49.75833333333333,0.8617022323376575,Blenheim,NA,Marlborough
2021,21,0,21.9,12.2,16.2125,25.28532,4.8375,52.541666666666664,0.9307887347390869,Blenheim,NA,Marlborough
2021,22,0,22.6,7.5,15.5,30.68208,2.6083333333333334,70.40833333333333,0.6437118932704926,Blenheim,NA,Marlborough
2021,23,0,20.1,12.1,17.304166666666667,6.5358,4.391666666666667,60.4375,0.8215259168254931,Blenheim,NA,Marlborough
2021,24,0,29,16.4,21.433333333333334,22.01076,4.104166666666667,43.62916666666667,1.5714002664806745,Blenheim,NA,Marlborough
2021,25,0,31.2,11.8,22.09583333333333,30.66696,3.65,46.74166666666667,1.6412357291673274,Blenheim,NA,Marlborough
2021,26,0,27.4,13.2,20.1,30.98448,1.8708333333333333,71.09583333333333,0.8261931029725278,Blenheim,NA,Marlborough
2021,27,0,36.3,12.9,23.725,31.35888,2.1708333333333334,58.00416666666666,1.8204870614125273,Blenheim,NA,Marlborough
2021,28,0,28.9,13,20.070833333333333,24.05772,3.6416666666666666,52.704166666666666,1.2328289548114786,Blenheim,NA,Marlborough
2021,29,0.4,19,10.5,14.275,24.092280000000002,1.9875,62.083333333333336,0.6715251119236407,Blenheim,NA,Marlborough
2021,30,0,18.8,6.4,13.3,25.2414,2.345833333333333,69.45416666666667,0.5408563736438121,Blenheim,NA,Marlborough
2021,31,0,21.8,6.7,15.258333333333333,31.2012,2.225,69.575,0.637464525841525,Blenheim,NA,Marlborough
2021,32,0,21.9,10.3,16.3875,30.74976,2.9250000000000003,74.4,0.5488350116828038,Blenheim,NA,Marlborough
2021,33,0,21,10.9,16.2375,29.80944,2.6791666666666667,74.96666666666667,0.544665914166528,Blenheim,NA,Marlborough
2021,34,0,21.9,10.9,16.408333333333335,30.02076,2.8,77.2,0.500745297954905,Blenheim,NA,Marlborough
2021,35,0,21.6,11.7,16.083333333333332,27.62172,2.0208333333333335,70.80416666666667,0.6106528810239354,Blenheim,NA,Marlborough
2021,36,0,19.4,6.7,13.516666666666667,29.83284,2.1041666666666665,69.74583333333334,0.5605154469378131,Blenheim,NA,Marlborough
2021,37,0,18.1,8.5,13.475,18.46332,2.220833333333333,77.22083333333333,0.3884362570531973,Blenheim,NA,Marlborough
2021,38,0,25.2,9.9,17.379166666666666,28.97676,2.4125,68.34166666666667,0.7748696989484741,Blenheim,NA,Marlborough
2021,39,0,26,11.2,19.366666666666667,28.73772,3.779166666666667,59.15416666666667,1.0671908189436463,Blenheim,NA,Marlborough
2021,40,2,23.9,17.9,20.341666666666665,12.53592,3.4,66.68333333333334,0.8173249161268737,Blenheim,NA,Marlborough
2021,41,7.6,24.3,15.4,19.7375,24.36912,2.966666666666667,67.225,0.8126075480899798,Blenheim,NA,Marlborough
2021,42,0,24.9,13.5,18.454166666666666,29.84544,3.9833333333333334,44.88333333333333,1.2770389173834156,Blenheim,NA,Marlborough
2021,43,0,21.3,10,15.066666666666666,26.65584,2.470833333333333,67.5125,0.6203718896497783,Blenheim,NA,Marlborough
2021,44,0,25.5,9.2,16.741666666666667,24.163200000000003,2.05,68.8875,0.7670327405851137,Blenheim,NA,Marlborough
2021,45,0,24.7,13,18.041666666666668,21.32712,1.7291666666666667,66.17083333333333,0.7776033381868934,Blenheim,NA,Marlborough
2021,46,3.4,19.7,11.1,14.941666666666666,10.95624,2.1791666666666667,87.3125,0.24474512161647718,Blenheim,NA,Marlborough
2021,47,2.6,18.5,11.5,15.491666666666667,24.03612,2.6041666666666665,66.29583333333333,0.6123720699046248,Blenheim,NA,Marlborough
2021,48,0,18.7,8,13.095833333333333,21.84696,2.470833333333333,61.199999999999996,0.6240188062422221,Blenheim,NA,Marlborough
2021,49,0,18.5,6.5,12.716666666666667,27.85932,2.4208333333333334,73.7375,0.47192383371889085,Blenheim,NA,Marlborough
2021,50,0,25,8.9,16.3375,27.36324,2.2083333333333335,71.175,0.6717157574673663,Blenheim,NA,Marlborough
2021,51,0,23.7,9.5,17.045833333333334,27.5706,2.0833333333333335,79.80833333333334,0.5047234906015957,Blenheim,NA,Marlborough
2021,52,0,27.8,9,18.708333333333332,22.4856,1.7791666666666668,62.62916666666666,1.0559327778293865,Blenheim,NA,Marlborough
2021,53,0,29.7,10.4,20.166666666666668,26.1648,2.566666666666667,47.75416666666667,1.4954293855013983,Blenheim,NA,Marlborough
2021,54,0,25.4,13.9,20.329166666666666,22.487759999999998,4.054166666666666,56.125,1.112033063127382,Blenheim,NA,Marlborough
2021,55,0,22.7,19.4,20.808333333333334,8.0658,3.1166666666666667,62.079166666666666,0.9372449209522686,Blenheim,NA,Marlborough
