Site,Variety,Date,pruning,Severity,year,doy,doy.july1st,season,previous.season,sev1,sev2,sev3,sev23,first_sev1,end_sev1,first_sev23,end_sev23,tmean_sev1,tmin_sev1,tmax_sev1,rh_sev1,wetness_sev1,WD_sev1,rain_sev1,tmean_sev23,tmin_sev23,tmax_sev23,rh_sev23,wetness_sev23,WD_sev23,rain_sev23
Booker,Sauvignon blanc,2011-03-30T00:00:00Z,4-cane,0.017806513984871302,2011,89,273,2010-2011,2009-2010,5.744278048951281,1.5616270273919,0.07824977283249457,1.6398768002243944,2010-11-29T00:00:00Z,2011-01-13T00:00:00Z,2011-02-07T00:00:00Z,2011-03-30T00:00:00Z,17.554152173913042,12.055934782608695,22.485652173913042,67.99918714555766,21.120246691871454,4.304347826086956,150.4,16.24199414715719,9.74051923076923,22.392692307692307,70.32861204013378,25.395183946488295,5.4423076923076925,46.4
Booker,Sauvignon blanc,2012-04-14T00:00:00Z,2-cane,0.042997120134700306,2012,105,289,2011-2012,2010-2011,7.288373201834206,0.5723220717142147,0.6043550876236746,1.1766771593378893,2011-12-07T00:00:00Z,2012-01-29T00:00:00Z,2012-02-24T00:00:00Z,2012-04-14T00:00:00Z,16.226995974235106,10.888240740740741,21.031296296296297,72.52238325281803,21.98888727858293,4.277777777777778,105.4,14.061007672634272,8.150764705882352,19.54980392156863,73.54452685421995,23.358082693947143,4.509803921568627,69.2
Booker,Sauvignon blanc,2012-04-14T00:00:00Z,4-cane,0.01274249328342964,2012,105,289,2011-2012,2010-2011,7.288373201834206,0.5723220717142147,0.6043550876236746,1.1766771593378893,2011-12-07T00:00:00Z,2012-01-29T00:00:00Z,2012-02-24T00:00:00Z,2012-04-14T00:00:00Z,16.226995974235106,10.888240740740741,21.031296296296297,72.52238325281803,21.98888727858293,4.277777777777778,105.4,14.061007672634272,8.150764705882352,19.54980392156863,73.54452685421995,23.358082693947143,4.509803921568627,69.2
Booker,Sauvignon blanc,2013-03-27T00:00:00Z,2-cane,0.00283375314861461,2013,86,270,2012-2013,2011-2012,4.2526077915707265,1.1299626258849478,0.47212792437985546,1.6020905502648033,2012-12-05T00:00:00Z,2013-01-18T00:00:00Z,2013-02-10T00:00:00Z,2013-03-27T00:00:00Z,17.705188405797102,11.52351111111111,23.238888888888887,66.03216425120773,24.740399033816423,5.111111111111111,100.6,16.197316635160682,9.38004347826087,22.471086956521738,71.99241965973535,31.38952741020794,6.6521739130434785,26.6
Booker,Sauvignon blanc,2013-03-27T00:00:00Z,4-cane,0.0038479859757794563,2013,86,270,2012-2013,2011-2012,4.2526077915707265,1.1299626258849478,0.47212792437985546,1.6020905502648033,2012-12-05T00:00:00Z,2013-01-18T00:00:00Z,2013-02-10T00:00:00Z,2013-03-27T00:00:00Z,17.705188405797102,11.52351111111111,23.238888888888887,66.03216425120773,24.740399033816423,5.111111111111111,100.6,16.197316635160682,9.38004347826087,22.471086956521738,71.99241965973535,31.38952741020794,6.6521739130434785,26.6
Booker,Sauvignon blanc,2014-04-03T00:00:00Z,2-cane,0.032128650150827984,2014,93,277,2013-2014,2012-2013,5.531885296255602,1.489523001210942,0.35202715661998923,1.8415501578309312,2013-11-24T00:00:00Z,2014-01-09T00:00:00Z,2014-01-31T00:00:00Z,2014-04-03T00:00:00Z,17.471247918593896,11.888,22.714255319148936,66.0558926919519,21.33119056429232,4.25531914893617,95.39999999999999,16.113738440303656,9.476507936507936,22.287619047619046,70.60578329882678,25.18703381642512,5.158730158730159,48.6
Booker,Sauvignon blanc,2014-04-03T00:00:00Z,4-cane,0.00839409691714139,2014,93,277,2013-2014,2012-2013,5.531885296255602,1.489523001210942,0.35202715661998923,1.8415501578309312,2013-11-24T00:00:00Z,2014-01-09T00:00:00Z,2014-01-31T00:00:00Z,2014-04-03T00:00:00Z,17.471247918593896,11.888,22.714255319148936,66.0558926919519,21.33119056429232,4.25531914893617,95.39999999999999,16.113738440303656,9.476507936507936,22.287619047619046,70.60578329882678,25.18703381642512,5.158730158730159,48.6
Booker,Sauvignon blanc,2015-03-27T00:00:00Z,2-cane,0.04457470814346816,2015,86,270,2014-2015,2013-2014,5.059735150874122,1.1106749344102798,0.7090491514269237,1.8197240858372035,2014-11-30T00:00:00Z,2015-01-17T00:00:00Z,2015-02-05T00:00:00Z,2015-03-27T00:00:00Z,17.21854392191659,11.00904081632653,22.840204081632653,68.5640017746229,18.995812777284826,4.040816326530612,49.4,16.435651321398126,9.68478431372549,22.73450980392157,70.36955669224211,28.014645353793693,6.078431372549019,62.6
Booker,Sauvignon blanc,2015-03-27T00:00:00Z,4-cane,0.019598303790503264,2015,86,270,2014-2015,2013-2014,5.059735150874122,1.1106749344102798,0.7090491514269237,1.8197240858372035,2014-11-30T00:00:00Z,2015-01-17T00:00:00Z,2015-02-05T00:00:00Z,2015-03-27T00:00:00Z,17.21854392191659,11.00904081632653,22.840204081632653,68.5640017746229,18.995812777284826,4.040816326530612,49.4,16.435651321398126,9.68478431372549,22.73450980392157,70.36955669224211,28.014645353793693,6.078431372549019,62.6
Booker,Sauvignon blanc,2016-04-01T00:00:00Z,2-cane,0.07532978769867893,2016,92,276,2015-2016,2014-2015,5.793905752415516,0.8349670001063488,0.3679621751441576,1.2029291752505062,2015-12-05T00:00:00Z,2016-01-23T00:00:00Z,2016-02-12T00:00:00Z,2016-04-01T00:00:00Z,16.93129912347826,10.2484996,22.9891392,67.39153517391304,17.404602067731304,3.54,95.3156,17.75531622347826,11.37027134,23.8690242,71.54260621739131,17.79233220226261,3.62,87.883383
